"accgrpid","userid1","branchname","uwritrname"
330,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
331,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
332,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
333,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
334,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
335,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
336,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
337,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
338,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
339,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
340,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
341,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
342,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
343,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
344,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
345,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
346,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
347,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
348,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
349,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
350,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
351,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
352,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
353,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
354,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
355,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
356,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
357,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
358,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
359,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
360,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
361,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
362,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
363,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
364,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
365,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
366,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
367,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
368,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
369,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
370,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
371,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
372,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
373,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
374,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
375,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
376,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
377,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
378,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
379,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
380,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
