cntrycode,bscr_entity,region,sum_pml,sum_net,count_policies,is_geocoded
LT,33,ALL,3637140.0,3637140.0,4,1
LU,33,ALL,15425010.842777418,15425010.842777418,4,1
MA,33,ALL,636050.8055175319,636050.8055175319,2,1
MC,33,ALL,338920050.44964075,202397157.63661495,43,1
MT,33,ALL,1199276.0,1199276.0,2,1
MX,33,ALL,22688725.59334642,22688725.59334642,13,1
MY,33,ALL,3683494.03571052,1841747.01785526,1,1
NG,33,ALL,1542234.419892,790117.209946,2,1
NL,33,ALL,51013102.48498177,43391627.57981621,23,1
NO,33,ALL,161170551.5478677,93631415.33316496,17,1
NZ,33,ALL,9412113.381831858,9412113.381831858,11,1
PA,33,ALL,8016098.617608573,8016098.617608573,7,1
PE,33,ALL,147443397.54639003,114492018.53206621,40,1
PH,33,ALL,169226.37223785,84613.186118925,1,1
PL,33,ALL,11831807.323602945,11831807.323602945,6,1
PR,33,ALL,5830505.30242632,5830505.30242632,2,1
PT,33,ALL,115973936.62573147,49767654.61069662,12,1
QA,33,ALL,389545.2256163597,388426.24779065535,2,1
RO,33,ALL,4000.0,4000.0,1,1
SA,33,ALL,12947615.8636562,6483807.9318281,2,1
SC,33,ALL,485674.047443554,242837.023721777,1,1
SE,33,ALL,2694309250.7946787,2430519956.7227507,462,1
SG,33,ALL,75340142.25775777,42846654.58754989,15,1
SK,33,ALL,7055894.33204471,7055894.33204471,2,1
SN,33,ALL,683280.0,341640.0,1,1
SV,33,ALL,2896398.306232046,2896398.306232046,4,1
TH,33,ALL,131620.51174055,65810.255870275,1,1
TR,33,ALL,11289232.179395001,7970496.375607341,3,1
TW,33,ALL,2583834.2745195283,1352806.4311404182,3,1
US,33,ALL,738973417.3485165,426252309.81766593,106,1
UY,33,ALL,4723077.212352772,4723077.212352772,3,1
VC,33,ALL,1800000.0,1800000.0,1,1
VN,33,ALL,11322.0,11322.0,1,1
ZA,33,ALL,161023016.79543495,146142616.40434763,26,1
AE,3624,ALL,36000.0,36000.0,1,0
AU,3624,ALL,108000.0,108000.0,1,0
CA,3624,ALL,110000.0,110000.0,1,0
CO,3624,ALL,185000.0,185000.0,1,0
IN,3624,ALL,8000.0,8000.0,1,0
MX,3624,ALL,200000.0,200000.0,1,0
SG,3624,ALL,140000.0,140000.0,1,0
US,3624,ALL,345000.0,345000.0,1,0
ZA,3624,ALL,520000.0,520000.0,1,0
AE,3624,ALL,36000.0,36000.0,1,1
AU,3624,ALL,108000.0,108000.0,1,1
CA,3624,ALL,110000.0,110000.0,1,1
CH,3624,ALL,10994796.8,10994796.8,10,1
CO,3624,ALL,185000.0,185000.0,1,1
GB,3624,ALL,5578000.0,5578000.0,5,1
IN,3624,ALL,8000.0,8000.0,1,1
MX,3624,ALL,200000.0,200000.0,1,1
SG,3624,ALL,212000.0,212000.0,2,1
US,3624,ALL,2462700.0,2462700.0,3,1
ZA,3624,ALL,520000.0,520000.0,1,1
AE,HIC,ALL,55056.0,55056.0,1,0
GB,HIC,ALL,7099946.0,7099946.0,15,0
GI,HIC,ALL,1314558.0,1314558.0,3,0
IM,HIC,ALL,4434700.0,4434700.0,1,0
JE,HIC,ALL,2156533.2,2156533.2,6,0
PK,HIC,ALL,17013.2,17013.2,1,0
SG,HIC,ALL,255000.0,255000.0,1,0
US,HIC,ALL,101000.0,101000.0,1,0
AU,HIC,ALL,151000.0,151000.0,3,1
CA,HIC,ALL,212000.0,212000.0,1,1
CH,HIC,ALL,218400.0,218400.0,1,1
